 num;dist(asec);            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  spec. type   
1930;   3650.99;V* V1020 Tau                       ;Er*;03 51 49.9154062872 +24 11 50.448654924;     ~   ;     ~   ;     ~   ;     ~   ;~              
1931;   3653.79;[SCG94] X 44                       ;?  ;03 44 09.8 +24 48 54                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1932;   3657.88;Cl Melotte 22 740                  ;Er*;03 45 42.4520568624 +25 03 25.502742864;     ~   ;14.51    ;13.43    ;     ~   ;M:             
1933;   3658.53;Cl* Melotte 22 DH 670              ;Er*;03 50 27.3447026113 +23 22 45.162880765;     ~   ;     ~   ;18.16    ;     ~   ;~              
1934;   3658.64;[SCG94] X 291                      ;?  ;03 51 04.6 +24 41 35                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1935;   3661.56;Cl Melotte 22 53                   ;*  ;03 43 10.1405335656 +23 48 00.681469488;     ~   ;15.37    ;13.6     ;     ~   ;M:             
1936;   3662.44;HD 282955                          ;*  ;03 46 52.0479138576 +25 07 36.429723624;     ~   ;10.83    ;10.50    ;     ~   ;A5             
1937;   3664.03;Cl* Melotte 22 BPL 223             ;PM*;03 50 03.9396938232 +24 56 03.009357672;     ~   ;     ~   ;     ~   ;     ~   ;~              
1938;   3664.21;V* LT Tau                          ;Er*;03 42 56.5414250592 +24 04 57.984145968;     ~   ;17.797   ;16.238   ;     ~   ;M3.5           
1939;   3664.71;Cl* Melotte 22 DH 650              ;PM*;03 50 04.9962780096 +23 18 17.445872880;     ~   ;     ~   ;     ~   ;     ~   ;~              
1940;   3664.74;[SCG94] X 73                       ;G  ;03 44 53.9 +24 57 39                   ;     ~   ;19.15    ;     ~   ;     ~   ;~              
1941;   3672.35;HD 282956                          ;*  ;03 47 54.0483058128 +25 07 49.420160220;     ~   ;11.63    ;9.88     ;     ~   ;M0             
1942;   3672.94;HD 23513                           ;PM*;03 46 39.9969863424 +23 06 37.194884441;9.85     ;9.91     ;9.40     ;8.97     ;F5V            
1943;   3673.35;Gaia DR3 68300837684062976         ;WD?;03 43 19.6366093536 +24 32 29.192418312;     ~   ;     ~   ;     ~   ;     ~   ;~              
1944;   3676.56;V* V617 Tau                        ;Er*;03 42 56.9509107576 +24 13 42.279296592;     ~   ;19.0     ;     ~   ;     ~   ;~              
1945;   3678.23;Cl* Melotte 22 DH 396              ;Er*;03 45 33.9792191256 +23 11 06.763100604;     ~   ;     ~   ;     ~   ;     ~   ;~              
1946;   3679.12;V* V977 Tau                        ;Er*;03 51 43.2095582448 +23 51 02.826392184;     ~   ;16.2     ;     ~   ;     ~   ;~              
1947;   3681.54;1AXG J034334+2439                  ;X  ;03 43 34.7 +24 39 14                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1948;   3682.27;Cl* Melotte 22 BPL 47              ;PM*;03 42 56.5581131237 +24 13 45.765182683;     ~   ;     ~   ;     ~   ;     ~   ;~              
1949;   3682.57;Cl* Melotte 22 CALAR 23            ;PM*;03 42 55.13 +24 09 02.6                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1950;   3683.21;HD 23353                           ;PM*;03 45 22.4011241832 +23 12 17.468179380;     ~   ;9.11     ;8.45     ;     ~   ;G0             
1951;   3687.01;Cl* Melotte 22 IPL 26              ;*  ;03 42 55.29 +24 03 08.7                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1952;   3689.79;HD 23464                           ;PM*;03 46 12.6884612472 +23 07 42.737683332;     ~   ;9.29     ;8.67     ;     ~   ;~              
1953;   3693.15;V* V539 Tau                        ;Er*;03 47 25.7891402808 +25 08 33.066300300;     ~   ;18.68    ;16.91    ;     ~   ;M4             
1954;   3694.43;Cl* Melotte 22 CALAR 29            ;*  ;03 42 54.18 +24 08 11.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1955;   3696.69;TYC 1804-2485-1                    ;*  ;03 47 20.1255582864 +25 08 36.315099600;     ~   ;12.32    ;11.99    ;     ~   ;~              
1956;   3697.69;V* V675 Tau                        ;Er*;03 50 53.9657345736 +24 45 54.945109548;     ~   ;17.1     ;     ~   ;     ~   ;~              
1957;   3697.79;UGCS J034637.20+250742.4           ;BD?;03 46 37.18156 +25 07 42.2627          ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1958;   3698.52;[SCG94] X 20                       ;X  ;03 43 29.1 +24 37 38                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1959;   3701.01;Cl Melotte 22 3034                 ;*  ;03 51 27.8818333200 +24 33 48.825044172;     ~   ;12.22    ;11.76    ;     ~   ;~              
1960;   3703.62;HD 23289                           ;*  ;03 44 51.2354703456 +23 16 08.116761576;     ~   ;9.33     ;9.01     ;     ~   ;F3V            
1961;   3704.39;V* V475 Tau A                      ;*  ;03 51 53.8965094460 +24 02 51.753729065;     ~   ;     ~   ;     ~   ;     ~   ;~              
1962;   3704.71;V* V475 Tau                        ;Y*O;03 51 53.91984 +24 02 51.7452          ;     ~   ;18.68    ;16.92    ;     ~   ;~              
1963;   3706.09;V* V475 Tau B                      ;*  ;03 51 54.0176131872 +24 02 51.161972820;     ~   ;     ~   ;     ~   ;     ~   ;~              
1964;   3706.63;Cl Melotte 22 315                  ;*  ;03 44 16.9599981456 +23 22 27.142827744;     ~   ;13.38    ;     ~   ;     ~   ;~              
1965;   3706.74;BD+22 542                          ;PM*;03 45 25.0458128400 +23 11 33.029121372;     ~   ;11.6     ;10.6     ;     ~   ;G4             
1966;   3707.34;HD 23232                           ;*  ;03 44 20.2200174192 +24 52 29.756321364;     ~   ;10.46    ;8.848    ;     ~   ;K2             
1967;   3708.26;ATO J056.4027+23.1715              ;EB?;03 45 36.660360 +23 10 17.66604        ;     ~   ;16.516   ;16.012   ;15.921   ;~              
1968;   3708.46;BD+23 494                          ;*  ;03 43 14.0151031584 +23 43 24.524688936;     ~   ;11.28    ;9.512    ;     ~   ;K5             
1969;   3712.80;Cl* Melotte 22 ROQUE 24            ;LM*;03 43 21.1027851144 +24 34 43.281326604;     ~   ;     ~   ;     ~   ;     ~   ;~              
1970;   3714.49;V* V522 Tau                        ;Er*;03 45 24.6409044720 +25 02 38.671676520;     ~   ;     ~   ;     ~   ;     ~   ;~              
1971;   3716.29;TXS 0348+235                       ;Rad;03 51 30.9 +23 41 28                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1972;   3717.67;UGCS J034704.90+250848.4           ;BD?;03 47 04.91265 +25 08 48.5538          ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1973;   3718.78;UGCS J034648.77+250827.7           ;G  ;03 46 48.76883 +25 08 27.6243          ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1974;   3718.90;2MASS J03432612+2437072            ;Y*O;03 43 26.1278868432 +24 37 07.317202584;     ~   ;14.17    ;13.31    ;13.10    ;~              
1975;   3720.00;Cl* Melotte 22 HAR 424             ;*  ;03 47 24.0 +25 09 00                   ;     ~   ;19.5     ;     ~   ;     ~   ;~              
1976;   3720.76;Cl* Melotte 22 IPL 27              ;*  ;03 42 54.16 +23 59 51.6                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1977;   3724.03;DANCe J03505217+2327112            ;PM*;03 50 52.1628330192 +23 27 11.543363208;     ~   ;     ~   ;     ~   ;     ~   ;~              
1978;   3724.79;HD 23410B                          ;*  ;03 45 48.7055446392 +23 08 52.990302228;     ~   ;11.06    ;9.97     ;     ~   ;~              
1979;   3726.09;Cl* Melotte 22 DH 589              ;Er*;03 48 44.0424757617 +25 06 22.619994009;     ~   ;     ~   ;     ~   ;     ~   ;~              
1980;   3727.32;HD 23410                           ;PM*;03 45 48.8151076872 +23 08 49.727194548;     ~   ;6.925    ;6.909    ;     ~   ;A0Va           
1981;   3738.43;** SKF 837C                        ;PM*;03 45 49.3631755920 +23 08 35.069246700;     ~   ;     ~   ;     ~   ;     ~   ;~              
1982;   3739.04;[AKS95] 18                         ;*  ;03 44 11.51 +23 22 55.0                ;     ~   ;12.425   ;11.512   ;     ~   ;~              
1983;   3739.67;Cl* Melotte 22 SRS 65847           ;*  ;03 46 06.2062382880 +25 06 46.043648424;     ~   ;17.09    ;15.97    ;     ~   ;~              
1984;   3741.16;1RXS J034313.3+243201              ;X  ;03 43 13.30 +24 32 01.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1985;   3742.69;Cl* Melotte 22 DH 269              ;PM*;03 43 29.8886494560 +24 39 23.799780108;23.537   ;     ~   ;20.0     ;     ~   ;~              
1986;   3742.93;V* V963 Tau                        ;BY*;03 43 37.7294586035 +23 32 09.560933897;11.82    ;11.4     ;10.6     ;     ~   ;G5V            
1987;   3748.03;V* V760 Tau                        ;Er*;03 50 20.8603434840 +23 19 25.382153424;     ~   ;18.7     ;     ~   ;     ~   ;~              
1988;   3748.37;HD 282952                          ;Y*O;03 46 27.3523093248 +25 08 07.920713904;     ~   ;11.3     ;10.9     ;     ~   ;F9             
1989;   3748.60;V* V966 Tau                        ;BY*;03 44 11.2145003449 +23 22 45.575870257;     ~   ;12.30    ;11.46    ;     ~   ;~              
1990;   3754.66;V* V388 Tau                        ;Er*;03 51 55.0428665664 +23 57 42.281515224;     ~   ;     ~   ;     ~   ;     ~   ;~              
1991;   3756.05;2MASS J03460578+2507013            ;*  ;03 46 05.7806894832 +25 07 01.417978128;     ~   ;     ~   ;     ~   ;     ~   ;~              
1992;   3758.47;Cl* Melotte 22 KPNO 5              ;LM*;03 49 56.8014096984 +24 59 07.269301680;     ~   ;     ~   ;     ~   ;     ~   ;~              
1993;   3760.41;V* V378 Tau                        ;Y*O;03 51 05.5717147278 +24 44 12.404879275;     ~   ;15.14    ;13.89    ;     ~   ;K4e            
1994;   3760.45;V* V767 Tau                        ;Er*;03 51 56.7388185768 +24 14 40.760736576;     ~   ;     ~   ;     ~   ;     ~   ;~              
1995;   3762.76;2MASS J03452772+2310134            ;Y*O;03 45 27.7150256208 +23 10 13.345214880;     ~   ;18.236   ;16.590   ;     ~   ;~              
1996;   3763.09;Wolf 1286                          ;PM*;03 47 54.0533668560 +25 09 20.716742952;     ~   ;15.75    ;     ~   ;13.2     ;M:             
1997;   3764.94;PGCC G167.77-23.63                 ;MoC;03 50 11.444 +23 17 19.08              ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1998;   3765.07;UGCS J035138.95+243044.7           ;*  ;03 51 38.9693270564 +24 30 44.265924202;     ~   ;     ~   ;     ~   ;     ~   ;~              
1999;   3765.72;TYC 1800-673-1                     ;*  ;03 50 49.2956345112 +23 25 22.295210268;     ~   ;12.37    ;11.39    ;     ~   ;~              
2000;   3765.87;V* V882 Tau                        ;Er*;03 51 57.1282653408 +23 59 48.502623768;     ~   ;     ~   ;     ~   ;     ~   ;~              
2001;   3766.18;V* V762 Tau                        ;Er*;03 50 33.9583687968 +24 52 31.509419988;     ~   ;     ~   ;     ~   ;     ~   ;~              
2002;   3766.22;TYC 1800-929-1                     ;*  ;03 51 55.9443729504 +24 16 43.513877424;     ~   ;12.09    ;11.42    ;     ~   ;~              
2003;   3766.25;LP 357-23                          ;Y*O;03 51 55.3384933665 +23 56 54.461515434;     ~   ;17.7     ;     ~   ;15.3     ;~              
2004;   3767.78;Cl* Melotte 22 SK 668              ;Er*;03 42 49.1062301892 +24 10 15.825463741;21.337   ;18.559   ;16.953   ;     ~   ;M3.5e          
2005;   3770.25;Cl* Melotte 22 SK 459              ;*  ;03 46 48.2 +23 04 42                   ;     ~   ;     ~   ;14.29    ;     ~   ;~              
2006;   3773.76;Gaia DR3 66871373787534208         ;Y*?;03 50 12.3693008976 +24 56 53.780093556;     ~   ;     ~   ;     ~   ;     ~   ;~              
2007;   3774.91;BD+23 493                          ;*  ;03 42 55.8631072080 +23 52 34.773033468;     ~   ;11.02    ;10.23    ;     ~   ;G2             
2008;   3779.12;1RXS J034409.1+232231              ;X  ;03 44 09.098 +23 22 31.51              ;     ~   ;     ~   ;     ~   ;     ~   ;~              
2009;   3781.36;Cl* Melotte 22 BPL 45              ;*  ;03 42 48.1622628840 +24 04 01.465386204;     ~   ;     ~   ;     ~   ;     ~   ;~              
2010;   3782.94;V* V354 Tau                        ;Y*O;03 48 58.9647489120 +25 06 14.360021676;     ~   ;15.35    ;14.01    ;13.46    ;K7             
2011;   3784.26;UCAC4 576-008890                   ;*  ;03 45 07.4545070616 +25 01 54.116164992;     ~   ;13.007   ;12.474   ;12.371   ;~              
2012;   3784.95;Cl* Melotte 22 IPL 9               ;*  ;03 43 04.57 +23 45 25.6                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
2013;   3785.03;Cl* Melotte 22 DH 715              ;PM*;03 51 33.9933539865 +24 34 09.116181820;     ~   ;     ~   ;     ~   ;     ~   ;~              
2014;   3789.88;Cl Melotte 22 117                  ;*  ;03 43 36.0 +24 43 00                   ;     ~   ;15.3     ;     ~   ;     ~   ;~              
2015;   3790.60;Gaia DR2 65090126292336640         ;WD?;03 43 31.0365758088 +23 33 02.467331856;     ~   ;     ~   ;     ~   ;     ~   ;~              
2016;   3793.90;Cl* Melotte 22 DH 732              ;*  ;03 51 58.3404942960 +23 58 19.521641640;     ~   ;     ~   ;     ~   ;     ~   ;~              
2017;   3794.43;Cl* Melotte 22 HHJ 59              ;*  ;03 44 11.2744457712 +24 52 34.502058120;     ~   ;     ~   ;19.3     ;     ~   ;M5             
2018;   3799.68;1RXS J035137.5+243300              ;X  ;03 51 37.500 +24 33 00.00              ;     ~   ;     ~   ;     ~   ;     ~   ;~              
2019;   3800.97;[SCG94] X 303                      ;?  ;03 51 59.0 +23 58 33                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
2020;   3803.43;V* V533 Tau                        ;Er*;03 46 48.7810686726 +23 04 07.509784985;     ~   ;17.682   ;16.155   ;     ~   ;~              
2021;   3809.23;Cl* Melotte 22 HHJ 33              ;Er*;03 46 21.3911510304 +23 05 09.244323312;     ~   ;     ~   ;     ~   ;     ~   ;~              
2022;   3809.31;Cl Melotte 22 43                   ;*  ;03 43 06.0 +24 31 00                   ;     ~   ;14.5     ;     ~   ;     ~   ;~              
2023;   3810.51;V* V816 Tau                        ;BY*;03 51 53.3859880635 +24 23 13.082093440;     ~   ;13.67    ;12.69    ;     ~   ;K0V            
2024;   3812.53;V* V462 Tau                        ;Er*;03 48 46.0985741592 +25 07 44.468266044;     ~   ;     ~   ;     ~   ;     ~   ;~              
2025;   3815.55;Cl* Melotte 22 IPL 28              ;*  ;03 42 49.7925007848 +23 55 53.029099848;     ~   ;     ~   ;     ~   ;     ~   ;~              
2026;   3817.86;HD 24194                           ;PM*;03 51 56.8624256040 +23 54 07.044904908;     ~   ;10.61    ;10.07    ;     ~   ;G0V            
2027;   3819.86;Cl* Melotte 22 DH 459              ;Er*;03 46 36.0628220202 +23 04 17.405931952;     ~   ;     ~   ;17.70    ;     ~   ;M4             
2028;   3820.22;V* V1054 Tau                       ;Y*O;03 51 39.2751951048 +24 32 56.043000960;     ~   ;13.15    ;12.15    ;12.30    ;~              
2029;   3831.49;IRAS 03475+2445                    ;FIR;03 50 32.4 +24 54 20                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
2030;   3844.41;Cl* Melotte 22 TRU R9              ;*  ;03 42 46.0 +24 16 18                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
2031;   3844.64;V* V560 Tau                        ;Er*;03 51 32.3642771424 +24 37 06.938152356;     ~   ;14.36    ;12.97    ;     ~   ;~              
2032;   3845.12;BD+23 492                          ;*  ;03 42 45.9317198496 +24 16 16.437290736;     ~   ;11.65    ;10.39    ;     ~   ;G7             
2033;   3846.92;Cl* Melotte 22 SRS 80119           ;*  ;03 42 54.1040067624 +24 25 05.168014284;     ~   ;15.71    ;14.42    ;     ~   ;~              
2034;   3852.41;BD+22 574                          ;*  ;03 49 56.4960771432 +23 13 07.044335076;     ~   ;10.79    ;10.2     ;     ~   ;F8             
2035;   3852.56;HD 283055                          ;*  ;03 50 34.8641911656 +24 54 18.418190292;     ~   ;11.78    ;11.10    ;     ~   ;G5             
2036;   3859.77;IRAS 03410+2313                    ;FIR;03 44 00.6 +23 22 36                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
2037;   3861.68;Cl Melotte 22 3                    ;*  ;03 42 43.2395560344 +24 13 27.500800476;     ~   ;15.55    ;13.72    ;14.02    ;~              
2038;   3865.15;Cl* Melotte 22 DH 241              ;*  ;03 42 44.4505980168 +23 58 15.479197608;     ~   ;     ~   ;     ~   ;     ~   ;~              
2039;   3865.33;Cl* Melotte 22 DH 739              ;*  ;03 52 04.4684192952 +24 14 39.759008748;     ~   ;     ~   ;     ~   ;     ~   ;~              
2040;   3865.85;2MASS J03500654+2459467            ;Y*O;03 50 06.5481390216 +24 59 46.515441948;     ~   ;     ~   ;     ~   ;     ~   ;~              
2041;   3872.34;Cl* Melotte 22 SK 671              ;Er*;03 42 41.902800 +24 11 58.07832        ;18.592   ;15.93    ;14.500   ;14.16    ;M0             
2042;   3872.36;** RAO 122A                        ;*  ;03 42 41.9015575896 +24 11 58.053613596;     ~   ;     ~   ;     ~   ;     ~   ;~              
2043;   3872.99;** RAO 122B                        ;*  ;03 42 41.8595940120 +24 11 58.847652348;     ~   ;     ~   ;     ~   ;     ~   ;~              
2044;   3874.04;HAT 260-04945                      ;*  ;03 51 43.2603396504 +24 33 06.075001764;     ~   ;     ~   ;     ~   ;     ~   ;~              
2045;   3874.98;Cl* Melotte 22 DH 440              ;Er*;03 46 21.6200872320 +23 04 01.084346796;     ~   ;     ~   ;     ~   ;     ~   ;~              
2046;   3875.03;UGCS J034714.53+251132.9           ;BD?;03 47 14.58966 +25 11 32.9035          ;     ~   ;     ~   ;     ~   ;     ~   ;~              
2047;   3875.17;2MASS J03424624+2354503            ;NIR;03 42 46.2300612960 +23 54 50.410008756;     ~   ;     ~   ;     ~   ;     ~   ;~              
2048;   3875.22;Cl* Melotte 22 IPL 31              ;*  ;03 42 42.16 +24 01 17.1                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
2049;   3878.55;Cl* Melotte 22 BPL 247             ;*  ;03 52 01.5747879552 +24 20 11.576426100;     ~   ;     ~   ;     ~   ;     ~   ;~              
2050;   3878.68;CSI+24-03410                       ;*  ;03 44 00.0 +24 52 00                   ;     ~   ;10.8     ;10.2     ;     ~   ;F6V            
2051;   3882.53;V* V383 Tau                        ;Er*;03 51 39.1049026704 +24 35 29.260755996;     ~   ;18.6     ;     ~   ;     ~   ;~              
2052;   3885.70;Cl* Melotte 22 DH 236              ;PM*;03 42 41.8430022863 +24 00 15.753938888;     ~   ;     ~   ;     ~   ;     ~   ;~              
2053;   3886.46;V* LQ Tau                          ;Er*;03 42 41.1675049670 +24 01 42.939670680;     ~   ;     ~   ;     ~   ;     ~   ;~              
2054;   3887.30;TYC 1804-2168-1                    ;*  ;03 48 00.7294930224 +25 11 14.921182752;     ~   ;12.57    ;11.99    ;     ~   ;~              
2055;   3888.62;Cl* Melotte 22 IPL 10              ;*  ;03 43 03.28 +23 41 30.8                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
2056;   3890.98;HAT 260-06475                      ;Y*O;03 50 31.6477231416 +23 18 24.778144224;     ~   ;14.36    ;13.35    ;13.17    ;~              
2057;   3893.29;HD 24088                           ;*  ;03 51 02.7503172192 +23 25 41.941267788;     ~   ;9.79     ;9.40     ;     ~   ;A3             
2058;   3893.98;Cl Melotte 22 1938                 ;*  ;03 49 12.0 +23 07 00                   ;     ~   ;15.5     ;14.4     ;     ~   ;~              
2059;   3895.57;V* MR Tau                          ;Er*;03 43 52.1468914179 +24 50 29.809898223;     ~   ;16.00    ;     ~   ;     ~   ;K7V            
2060;   3898.32;V* V549 Tau                        ;Er*;03 49 05.9194558008 +23 06 22.048895340;     ~   ;     ~   ;17.52    ;     ~   ;~              
2061;   3900.50;UCAC4 574-008354                   ;PM*;03 43 21.3399399818 +24 41 15.864683943;     ~   ;14.687   ;13.546   ;13.171   ;~              
2062;   3900.50;EPIC 211107835.01                  ;Pl?;03 43 21.3399399818 +24 41 15.864683943;     ~   ;     ~   ;     ~   ;     ~   ;~              
2063;   3900.67;UCAC4 567-008284                   ;*  ;03 50 41.7345289080 +23 20 19.539674052;     ~   ;14.41    ;13.40    ;13.25    ;~              
2064;   3900.75;Cl Melotte 22 1                    ;*  ;03 42 39.0809910072 +24 07 34.919735772;     ~   ;14.55    ;13.24    ;13.47    ;~              
2065;   3901.88;Cl* Melotte 22 HHJ 23              ;PM*;03 47 22.7393525448 +23 01 58.155991068;     ~   ;     ~   ;     ~   ;     ~   ;M5             
2066;   3902.01;V* V510 Tau                        ;Er*;03 43 18.5331307320 +23 34 09.217670556;     ~   ;     ~   ;     ~   ;     ~   ;~              
2067;   3902.23;Cl* Melotte 22 DH 595              ;Er*;03 48 58.2831141888 +23 05 39.224932676;     ~   ;17.918   ;16.351   ;     ~   ;~              
2068;   3904.17;Cl* Melotte 22 BPL 229             ;*  ;03 50 29.2936536672 +24 56 34.759945428;     ~   ;     ~   ;     ~   ;     ~   ;~              
2069;   3905.80;Cl* Melotte 22 PLIZ 3              ;LM*;03 52 06.7084395888 +24 16 00.643676448;     ~   ;     ~   ;     ~   ;     ~   ;M6.0           
2070;   3906.96;Cl* Melotte 22 BRB 8               ;LM*;03 52 05.8178078136 +24 17 31.213029912;     ~   ;     ~   ;     ~   ;19.32    ;M5.6           
2071;   3907.68;[SCG94] X 305                      ;?  ;03 52 08.1 +24 13 33                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
2072;   3908.17;2MASS J03520225+2421481            ;Y*O;03 52 02.2640709432 +24 21 48.046377672;     ~   ;16.702   ;15.221   ;     ~   ;M0.2           
2073;   3912.17;UGCS J034720.83+251211.9           ;*  ;03 47 20.83176 +25 12 11.9304          ;     ~   ;     ~   ;     ~   ;     ~   ;~              
2074;   3912.38;V* V1286 Tau                       ;RS*;03 52 08.3334543360 +24 13 48.516974184;     ~   ;11.36    ;10.57    ;10.14    ;G5             
2075;   3912.47;Cl Melotte 22 28                   ;*  ;03 43 00.9000485160 +24 32 41.595899352;     ~   ;11.34    ;10.81    ;     ~   ;~              
2076;   3913.57;2MASS J03501997+2458304            ;*  ;03 50 19.97400 +24 58 30.4824          ;     ~   ;     ~   ;     ~   ;     ~   ;~              
2077;   3913.95;V* LO Tau                          ;Er*;03 42 40.2234476357 +23 59 21.705715226;     ~   ;17.07    ;15.72    ;     ~   ;M2.2           
2078;   3916.22;Cl* Melotte 22 CFHT 6              ;LM*;03 52 07.8718816512 +23 59 13.769184300;     ~   ;     ~   ;     ~   ;     ~   ;~              
2079;   3916.87;TYC 1799-1128-1                    ;*  ;03 43 14.8843555440 +23 35 06.383321448;     ~   ;12.64    ;11.98    ;     ~   ;~              
2080;   3917.60;HD 23061                           ;*  ;03 42 55.1141189191 +24 29 35.049617418;9.96     ;9.90     ;9.46     ;9.01     ;F5V            
2081;   3917.86;TYC 1799-769-1                     ;*  ;03 43 11.9213857512 +23 36 18.253665972;     ~   ;11.48    ;10.91    ;     ~   ;~              
2082;   3918.91;1RXS J035208.9+241336              ;X  ;03 52 08.90 +24 13 36.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
2083;   3921.85;V* V518 Tau                        ;Y*O;03 45 14.2176632664 +25 05 19.735781892;     ~   ;15.816   ;14.427   ;14.08    ;K4V:           
2084;   3922.75;2MASS J03451352+2505159            ;Y*O;03 45 13.5275739792 +25 05 15.958981752;     ~   ;14.44    ;13.33    ;     ~   ;~              
2085;   3923.14;Cl* Melotte 22 ROS 5               ;*  ;03 42 38.0 +24 03 12                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
2086;   3928.65;V* MM Tau                          ;Er*;03 43 36.5984676672 +23 27 14.218255378;     ~   ;16.02    ;14.62    ;14.07    ;M0e            
2087;   3929.40;ATO J055.9839+24.8717              ;V* ;03 43 56.1374639117 +24 52 18.444634336;     ~   ;     ~   ;     ~   ;     ~   ;~              
2088;   3930.31;UGCS J035043.06+231955.6           ;*  ;03 50 43.0605164616 +23 19 55.977270960;     ~   ;     ~   ;     ~   ;     ~   ;~              
2089;   3931.23;Cl* Melotte 22 BPL 256             ;*  ;03 52 11.0035396800 +24 09 21.700745748;     ~   ;     ~   ;     ~   ;     ~   ;~              
2090;   3931.23;TYC 1804-1240-1                    ;*  ;03 50 58.0527165744 +24 50 49.833776148;     ~   ;13.29    ;11.89    ;     ~   ;~              
2091;   3932.67;V* OR Tau                          ;Y*O;03 45 18.1442132453 +25 05 58.368658069;     ~   ;15.69    ;14.32    ;     ~   ;~              
2092;   3933.43;UGCS J034537.02+250752.8           ;G  ;03 45 37.00510 +25 07 52.8578          ;     ~   ;     ~   ;     ~   ;     ~   ;~              
2093;   3934.12;[SCG94] X 7                        ;?  ;03 42 59.5 +24 32 52                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
2094;   3934.39;Cl* Melotte 22 HHJ 116             ;Er*;03 48 50.6622487478 +23 04 30.275965956;     ~   ;     ~   ;19.20    ;     ~   ;~              
2095;   3938.78;UGCS J034546.59+250848.2           ;G  ;03 45 46.59406 +25 08 48.1167          ;     ~   ;     ~   ;     ~   ;     ~   ;~              
2096;   3938.83;V* LV Tau                          ;Er*;03 43 13.0650189852 +24 39 19.577629767;20.056   ;17.427   ;15.994   ;     ~   ;M2.2           
2097;   3939.18;2MASS J03504733+2453354            ;AG?;03 50 47.3396262480 +24 53 35.488194720;     ~   ;     ~   ;     ~   ;     ~   ;~              
2098;   3939.24;V* V340 Tau                        ;Er*;03 48 05.8216524165 +23 02 02.940296019;     ~   ;17.85    ;16.16    ;     ~   ;~              
2099;   3946.90;Cl* Melotte 22 SRS 75599           ;*  ;03 44 08.9339618688 +23 18 41.457315312;     ~   ;18.73    ;17.06    ;     ~   ;~              
2100;   3948.89;HAT 260-04639                      ;*  ;03 48 20.9105831088 +25 11 31.924315104;     ~   ;     ~   ;     ~   ;     ~   ;~              
2101;   3949.58;UCAC4 566-007970                   ;*  ;03 45 26.9261420256 +23 06 53.018148780;     ~   ;13.128   ;12.153   ;11.939   ;~              
2102;   3950.23;Cl* Melotte 22 KEL 4               ;*  ;03 45 20.0 +25 06 30                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
2103;   3954.83;Cl* Melotte 22 MHOBD 4             ;*  ;03 44 41.61 +25 01 36.2                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
2104;   3955.64;V* V451 Tau                        ;Er*;03 46 55.6591322928 +25 12 36.730153224;     ~   ;17.5     ;     ~   ;     ~   ;~              
2105;   3958.68;[SCG94] X 285                      ;?  ;03 50 48.3 +24 53 50                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
2106;   3959.02;Cl* Melotte 22 BPL 44              ;Er*;03 42 45.6412385184 +23 49 22.892610324;     ~   ;     ~   ;19.50    ;     ~   ;~              
2107;   3966.44;2E 0347.8+2445                     ;X  ;03 50 48.0 +24 54 05                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
2108;   3967.38;Cl* Melotte 22 BRB 26              ;LM*;03 48 56.17 +25 09 43.1                ;     ~   ;     ~   ;     ~   ;24.00    ;~              
2109;   3967.91;V* V640 Tau                        ;Er*;03 46 24.04896 +23 02 18.6324          ;     ~   ;     ~   ;     ~   ;     ~   ;~              
2110;   3967.92;V* V640 Tau A                      ;*  ;03 46 24.0538491216 +23 02 18.605623056;     ~   ;     ~   ;     ~   ;     ~   ;~              
2111;   3968.78;V* V640 Tau B                      ;*  ;03 46 24.0232642776 +23 02 17.812302216;     ~   ;     ~   ;     ~   ;     ~   ;~              
