 num|dist(asec)|            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  spec. type   
4587|  13103.38|Gaia DR2 3310017121912181888       |WD?|04 42 07.8282060744 +16 00 17.834584716|     ~   |     ~   |     ~   |     ~   |~              
4588|  13103.46|TYC 1273-832-1                     |*  |04 26 58.0023490080 +19 30 23.431952016|     ~   |12.81    |11.88    |     ~   |~              
4589|  13106.62|ATO J065.6635+19.3570              |RR*|04 22 39.2517033192 +19 21 25.501992696|     ~   |     ~   |16.59    |     ~   |~              
4590|  13112.36|TYC 1274-1100-1                    |*  |04 35 41.0620290648 +18 51 44.409457224|     ~   |13.10    |11.35    |     ~   |~              
4591|  13113.39|HD 286690                          |*  |04 18 49.5069315696 +12 48 32.539759596|     ~   |11.81    |10.96    |     ~   |F8             
4592|  13115.74|Cl* Melotte 25 HAN 67              |*  |04 12 15.14 +16 44 00.7                |     ~   |16.31    |14.85    |     ~   |~              
4593|  13118.73|PGCC G178.38-19.05                 |MoC|04 33 28.821 +19 10 01.84              |     ~   |     ~   |     ~   |     ~   |~              
4594|  13124.54|IRAS 04306+1903                    |FIR|04 33 32.1 +19 09 46                   |     ~   |     ~   |     ~   |     ~   |~              
4595|  13127.98|HD 29786                           |*  |04 42 09.7457559264 +15 58 11.548870968|     ~   |8.43     |8.09     |     ~   |F2             
4596|  13127.99|TYC 1273-925-1                     |*  |04 30 01.8569899560 +19 26 28.180034340|     ~   |12.85    |11.46    |     ~   |~              
4597|  13129.08|Cl* Melotte 25 HAN 136             |*  |04 16 11.23 +13 19 31.1                |     ~   |19.53    |17.80    |     ~   |~              
4598|  13129.21|TYC 1270-1004-1                    |*  |04 38 24.0224123904 +18 17 29.385390696|     ~   |12.25    |11.52    |     ~   |G4V            
4599|  13129.26|Cl* Melotte 25 VA 38               |PM*|04 11 53.3887550160 +16 12 51.169590504|     ~   |17.68    |16.6     |14.08    |~              
4600|  13129.65|XEST 01-067                        |X  |04 22 17.74 +19 20 14.3                |     ~   |     ~   |     ~   |     ~   |~              
4601|  13131.19|1RXS J043631.5+184309              |X  |04 36 31.500 +18 43 09.01              |     ~   |     ~   |     ~   |     ~   |~              
4602|  13133.68|TYC 1267-673-1                     |*  |04 42 00.8938441248 +15 22 31.434265452|     ~   |12.12    |12.29    |     ~   |~              
4603|  13136.19|UCAC4 548-009616                   |*  |04 28 57.5371021641 +19 29 08.390872588|     ~   |13.752   |12.122   |12.031   |~              
4604|  13137.10|ATO J070.4475+16.7159              |EB?|04 41 47.4093459022 +16 42 57.527781003|     ~   |     ~   |     ~   |14.467   |~              
4605|  13139.41|XEST 01-038                        |X  |04 21 54.06 +19 18 30.1                |     ~   |     ~   |     ~   |     ~   |~              
4606|  13141.28|TYC 694-267-1                      |*  |04 41 30.0119655288 +14 48 56.364696936|     ~   |11.56    |11.12    |     ~   |~              
4607|  13153.64|UCAC4 548-009548                   |*  |04 27 22.9222452565 +19 31 09.558374803|     ~   |14.389   |13.535   |13.512   |~              
4608|  13155.48|HH 355D                            |HH |04 22 08.9 +19 20 00                   |     ~   |     ~   |     ~   |     ~   |~              
4609|  13156.87|HD 285944                          |*  |04 39 07.6870786368 +18 05 28.699026144|     ~   |10.65    |10.17    |     ~   |F0             
4610|  13157.17|KUV 04390+1631                     |V* |04 41 54.4935519360 +16 36 37.583296416|     ~   |16.05    |15.54    |     ~   |B              
4611|  13158.76|LEDA 1405771                       |G  |04 28 05.7 +12 13 16                   |     ~   |     ~   |     ~   |     ~   |~              
4612|  13161.25|HD 286754                          |*  |04 24 55.3030524048 +12 14 44.372707080|     ~   |11.39    |10.17    |     ~   |K0             
4613|  13162.37|Cl* Melotte 25 BJH 344             |*  |04 34 09.7 +19 05 59                   |     ~   |     ~   |     ~   |     ~   |~              
4614|  13164.57|ATO J069.4648+13.3226              |EB?|04 37 51.5485853397 +13 19 21.767296022|     ~   |13.840   |13.220   |13.270   |~              
4615|  13165.07|ATO J062.9720+15.4880              |V* |04 11 53.3021337650 +15 29 16.878221124|     ~   |17.210   |16.229   |     ~   |~              
4616|  13168.03|IRAS 04388+1645                    |FIR|04 41 41.4 +16 50 52                   |     ~   |     ~   |     ~   |     ~   |~              
4617|  13168.82|HD 286691                          |*  |04 18 46.6982684376 +12 47 53.050000524|     ~   |11.50    |10.41    |     ~   |K0             
4618|  13169.07|IRAS 04093+1455                    |FIR|04 12 12.2 +15 02 51                   |     ~   |     ~   |     ~   |     ~   |~              
4619|  13169.88|NVSS J041210+164334                |Rad|04 12 10.90 +16 43 38.0                |     ~   |     ~   |     ~   |     ~   |~              
4620|  13171.61|LEDA 1558661                       |G  |04 15 58.2 +18 24 19                   |     ~   |     ~   |     ~   |     ~   |~              
4621|  13172.27|UCAC4 547-009630                   |*  |04 31 29.0012535334 +19 21 58.597430558|     ~   |13.877   |12.913   |12.759   |~              
4622|  13173.83|1RXS J041725.7+130203              |X  |04 17 25.70 +13 02 03.0                |     ~   |     ~   |     ~   |     ~   |~              
4623|  13174.57|IRAS 04089+1535                    |FIR|04 11 47.9 +15 43 37                   |     ~   |     ~   |     ~   |     ~   |~              
4624|  13176.64|TYC 694-1076-1                     |*  |04 38 26.0489325768 +13 28 06.738082536|     ~   |12.41    |12.35    |     ~   |~              
4625|  13177.58|Cl* Melotte 25 VA 365              |PM*|04 25 43.3771452168 +12 13 09.653532456|     ~   |14.44    |13.31    |12.97    |~              
4626|  13178.02|LP 474-219                         |BD?|04 16 42.7593010656 +13 10 58.291815324|     ~   |19.6     |     ~   |17.1     |~              
4627|  13178.65|LEDA 1489289                       |G  |04 11 49.2 +15 37 20                   |     ~   |     ~   |     ~   |     ~   |~              
4628|  13179.58|LEDA 1435556                       |G  |04 15 04.7 +13 36 33                   |     ~   |     ~   |     ~   |     ~   |~              
4629|  13179.92|TYC 1274-1490-1                    |*  |04 32 46.2840598248 +19 15 34.581889872|     ~   |12.33    |11.86    |     ~   |~              
4630|  13183.09|Cl* Melotte 25 HAN 49              |*  |04 11 47.22 +15 43 57.1                |     ~   |18.12    |16.27    |     ~   |~              
4631|  13186.30|SDSS J043139.23+192127.6           |WD?|04 31 39.2236328688 +19 21 27.767278836|     ~   |     ~   |     ~   |     ~   |~              
4632|  13190.90|EQ J043641+184237                  |*  |04 36 41.0 +18 42 36                   |     ~   |     ~   |9.80     |     ~   |~              
4633|  13200.65|LEDA 1539451                       |G  |04 40 15.4 +17 42 18                   |     ~   |     ~   |     ~   |     ~   |~              
4634|  13206.72|HD 285618                          |*  |04 12 40.3137865176 +14 38 07.632829716|     ~   |10.74    |8.85     |     ~   |K7             
4635|  13207.38|Gaia DR2 3309611402123254784       |WD?|04 41 39.1843981920 +14 52 29.881857360|     ~   |     ~   |     ~   |     ~   |~              
4636|  13209.34|PSO J065.5928+19.3662              |LM*|04 22 22.2619627512 +19 21 58.673736720|     ~   |     ~   |     ~   |     ~   |M5.2           
4637|  13209.88|Cl* Melotte 25 HAN 54              |*  |04 11 55.22 +15 20 12.4                |     ~   |19.84    |17.96    |     ~   |~              
4638|  13209.99|HD 284418                          |*  |04 22 29.0908983456 +19 22 29.727904260|     ~   |11.55    |11.06    |     ~   |G5             
4639|  13210.29|XEST 01-059                        |X  |04 22 08.43 +19 20 55.6                |     ~   |     ~   |     ~   |     ~   |~              
4640|  13210.40|UCAC4 546-009913                   |*  |04 34 39.4735713923 +19 02 58.785834917|     ~   |13.038   |12.451   |12.552   |~              
4641|  13214.35|NVSS J044211+153141                |Rad|04 42 11.20 +15 31 41.4                |     ~   |     ~   |     ~   |     ~   |~              
4642|  13218.94|UCAC4 528-009404                   |*  |04 42 12.9632202264 +15 35 25.660600620|     ~   |     ~   |     ~   |     ~   |~              
4643|  13220.42|ATO J066.8983+19.5362              |V* |04 27 35.5927389310 +19 32 10.637571319|     ~   |15.616   |14.388   |14.553   |~              
4644|  13223.56|NVSS J041145+160757                |Rad|04 11 45.30 +16 07 58.0                |     ~   |     ~   |     ~   |     ~   |~              
4645|  13224.41|OTL 0408+169                       |Rad|04 11 45.24 +16 07 57.8                |     ~   |     ~   |     ~   |     ~   |~              
4646|  13230.14|ATO J070.0124+17.8049              |V* |04 40 02.9806990615 +17 48 17.652103557|     ~   |17.157   |15.898   |     ~   |~              
4647|  13230.21|HD 284524                          |*  |04 32 23.7140628888 +19 18 34.428945744|     ~   |10.79    |10.53    |     ~   |A0             
4648|  13232.72|GRA B0430+19                       |Rad|04 33 30.0 +19 12 00                   |     ~   |     ~   |     ~   |     ~   |~              
4649|  13235.68|TGU H1252                          |DNe|04 33 48.0 +19 10 00                   |     ~   |     ~   |     ~   |     ~   |~              
4650|  13236.95|TXS 0435+182                       |Rad|04 38 31.7 +18 18 08                   |     ~   |     ~   |     ~   |     ~   |~              
4651|  13237.27|UCAC4 544-008913                   |*  |04 17 13.5780718992 +18 42 32.432236848|     ~   |16.041   |14.093   |13.619   |~              
4652|  13238.45|HD 286755                          |PM*|04 22 32.9833039032 +12 21 04.037090940|     ~   |11.82    |11.25    |     ~   |F8             
4653|  13241.78|Gaia DR3 3409257731470359680       |BD?|04 40 48.0399146616 +17 28 52.883810148|     ~   |     ~   |     ~   |     ~   |~              
4654|  13246.80|EGGR 169                           |WD*|04 25 53.7276237576 +12 11 48.337246428|     ~   |15.96    |15.44    |15.54    |DA8            
4655|  13247.28|2MASS J04421431+1533447            |NIR|04 42 14.3149821120 +15 33 44.595458244|     ~   |     ~   |     ~   |     ~   |~              
4656|  13248.01|Cl* Melotte 25 VA 314              |PM*|04 24 15.3813991920 +12 14 50.251659036|     ~   |18.07    |16.2     |15.66    |~              
4657|  13250.87|TYC 1267-241-1                     |*  |04 42 01.8330235392 +16 35 46.263974172|     ~   |12.50    |10.90    |     ~   |~              
4658|  13252.07|HG 8-24                            |PM*|04 34 37.9412453088 +19 03 59.479109460|     ~   |12.71    |12.06    |11.72    |~              
4659|  13252.25|TYC 679-34-1                       |*  |04 15 20.6078422776 +13 29 56.306869116|     ~   |12.64    |11.99    |     ~   |~              
4660|  13255.06|Gaia DR3 3310274923029961600       |Y*?|04 17 41.4714242304 +12 57 18.023167188|     ~   |     ~   |     ~   |     ~   |~              
4661|  13256.46|ATO J064.6046+18.9276              |V* |04 18 25.1088300922 +18 55 39.669032462|     ~   |     ~   |     ~   |     ~   |~              
4662|  13257.62|Cl* Melotte 25 VA 651              |PM*|04 31 56.7782367888 +12 23 04.675749432|     ~   |17.68    |16.1     |15.69    |~              
4663|  13262.42|HD 26515                           |PM*|04 12 12.8672467008 +14 55 56.813451708|     ~   |9.04     |8.56     |     ~   |G0             
4664|  13264.26|WISE J042230.60+192333.1           |G  |04 22 30.60 +19 23 33.1                |     ~   |     ~   |     ~   |     ~   |~              
4665|  13266.10|SDSS J041150.82+152056.1           |LM*|04 11 50.8239893016 +15 20 56.265283068|     ~   |     ~   |     ~   |     ~   |M0V            
4666|  13266.37|2MASS J04414514+1453582            |LM*|04 41 45.1555407336 +14 53 58.212109716|     ~   |     ~   |     ~   |     ~   |~              
4667|  13271.85|SDSS J041212.50+165206.2           |LM*|04 12 12.5004151187 +16 52 05.876379238|     ~   |     ~   |     ~   |     ~   |M5V            
4668|  13272.49|IRAS 04311+1902                    |FIR|04 34 01.8 +19 09 02                   |     ~   |     ~   |     ~   |     ~   |~              
4669|  13272.75|HD 286692                          |*  |04 19 27.5393319216 +12 39 51.150612960|     ~   |11.72    |10.88    |     ~   |F8             
4670|  13272.91|CRTS J043023.4+192749              |EB*|04 30 23.3327326368 +19 27 50.980022856|     ~   |     ~   |16.81    |     ~   |~              
4671|  13273.16|LEDA 1418006                       |G  |04 35 55.5 +12 52 46                   |     ~   |     ~   |     ~   |     ~   |~              
4672|  13273.25|Cl* Melotte 25 LH 287              |*  |04 13 22.97 +17 35 20.2                |     ~   |20.42    |18.53    |     ~   |~              
4673|  13273.57|HD 284417                          |*  |04 22 51.5870647728 +19 25 09.988884048|     ~   |10.85    |10.21    |     ~   |A5             
4674|  13273.83|SDSS J041149.04+152259.1           |HS*|04 11 49.0413507336 +15 22 59.301152472|     ~   |     ~   |     ~   |     ~   |sdO            
4675|  13275.07|LEDA 1414141                       |G  |04 34 39.7 +12 40 49                   |     ~   |     ~   |     ~   |     ~   |~              
4676|  13278.55|TYC 677-1069-1                     |*  |04 34 15.2512232208 +12 37 25.710136968|     ~   |12.63    |11.33    |     ~   |~              
4677|  13281.24|HD 285582                          |*  |04 11 42.7481344771 +16 12 42.717493988|     ~   |10.39    |9.80     |     ~   |F5             
4678|  13282.84|HG 7-247                           |PM*|04 30 57.3326111376 +12 18 13.637021688|     ~   |15.53    |13.990   |13.584   |~              
4679|  13284.16|2MASS J04120993+1650476            |LM*|04 12 10.0674174984 +16 50 43.354511016|     ~   |     ~   |     ~   |     ~   |M0V            
4680|  13286.37|V* RZ Tau                          |EB*|04 36 37.6613713272 +18 45 17.792668224|     ~   |10.79    |10.19    |     ~   |F5             
4681|  13287.62|LEDA 1575392                       |G  |04 35 32.3 +18 56 42                   |     ~   |     ~   |     ~   |     ~   |~              
4682|  13300.96|Cl* Melotte 25 HAN 61              |*  |04 12 05.86 +16 47 56.5                |     ~   |16.79    |14.98    |     ~   |~              
4683|  13304.98|UCAC4 548-009640                   |*  |04 29 17.8416531750 +19 31 18.421506886|     ~   |14.265   |13.307   |13.131   |~              
4684|  13305.54|EQ J043634+184621                  |*  |04 36 34.0 +18 46 24                   |     ~   |     ~   |11.61    |     ~   |~              
4685|  13311.00|Cl* Melotte 25 VA 176              |PM*|04 19 46.2439848504 +12 36 37.193866020|     ~   |17.58    |16.2     |15.78    |~              
4686|  13312.36|Cl* Melotte 25 VA 507              |*  |04 28 53.0969986296 +12 11 49.727456520|     ~   |16.55    |15.41    |15.12    |~              
4687|  13314.54|Cl* Melotte 25 HAN 75              |*  |04 12 36.37 +14 35 31.9                |     ~   |17.08    |15.58    |     ~   |~              
4688|  13317.90|Cl* Melotte 25 HAN 208             |*  |04 19 32.26 +12 38 20.7                |     ~   |19.31    |17.85    |     ~   |~              
4689|  13322.32|Gaia DR2 3307337268478818048       |BD?|04 29 42.8446475040 +12 13 30.034090524|     ~   |     ~   |     ~   |     ~   |~              
