 num|dist(asec)|            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  spec. type   
1501|   7227.16|Cl* Melotte 25 REIDA 257           |*  |04 24 08.5288958640 +13 58 53.554259964|     ~   |     ~   |20.24    |     ~   |~              
1502|   7228.82|GSC 01269-00905                    |*  |04 30 10.5259353552 +17 43 31.123632612|     ~   |     ~   |     ~   |     ~   |~              
1503|   7232.12|Cl* Melotte 25 REIDA 217           |*  |04 23 45.0860332272 +14 01 02.325091044|     ~   |18.59    |17.47    |     ~   |~              
1504|   7238.63|Cl* Melotte 25 HAN 352             |PM*|04 25 28.2508477132 +17 50 37.811518714|     ~   |14.332   |13.334   |12.956   |~              
1505|   7240.66|LP 414-166                         |PM*|04 19 39.0373069137 +16 50 04.984106216|     ~   |21.05    |     ~   |17.8     |~              
1506|   7242.03|2MASS J04344356+1638484            |*  |04 34 43.5623566944 +16 38 48.383432988|     ~   |     ~   |     ~   |     ~   |M2.5V          
1507|   7246.92|HD 285933                          |*  |04 34 37.3813855224 +15 02 34.872198936|     ~   |11.63    |10.01    |     ~   |K7             
1508|   7252.48|Cl* Melotte 25 REIDA 227           |*  |04 23 50.7822643272 +14 00 05.943349008|     ~   |19.66    |18.14    |     ~   |~              
1509|   7254.93|TYC 681-272-1                      |*  |04 32 55.4069000760 +14 26 45.526397748|     ~   |12.56    |11.04    |     ~   |~              
1510|   7255.80|HD 28258                           |PM*|04 28 04.4335121136 +13 52 04.578923028|     ~   |9.860    |9.032    |9.03     |G5V            
1511|   7256.78|1RXS J042222.7+141116              |X  |04 22 22.70 +14 11 16.5                |     ~   |     ~   |     ~   |     ~   |~              
1512|   7256.92|HD 285882                          |*  |04 33 31.3832932032 +14 36 23.551070868|     ~   |11.73    |11.10    |     ~   |F0             
1513|   7261.39|2MASS J04190911+1509479            |BD?|04 19 09.1326158544 +15 09 47.776197888|     ~   |     ~   |     ~   |     ~   |~              
1514|   7261.68|UCAC2 37307710                     |*  |04 35 15.2023673568 +15 30 57.956369004|     ~   |13.61    |12.61    |12.44    |~              
1515|   7262.98|2MASS J04185159+1523153            |LM*|04 18 51.5932267344 +15 23 15.320425308|     ~   |     ~   |     ~   |     ~   |M0V            
1516|   7263.55|1RXS J042802.4+135153              |X  |04 28 02.40 +13 51 53.0                |     ~   |     ~   |     ~   |     ~   |~              
1517|   7265.00|HD 285928                          |*  |04 35 03.0932378856 +15 18 24.566229036|     ~   |12.42    |10.44    |     ~   |K7             
1518|   7266.17|RX J0424.1+1358                    |X  |04 24 11.1 +13 57 59                   |     ~   |     ~   |     ~   |     ~   |~              
1519|   7266.43|Cl* Melotte 25 REIDA 218           |*  |04 23 43.967 +14 00 31.96              |     ~   |18.88    |18.40    |     ~   |~              
1520|   7267.03|[BKM2008] HC13c09-1062l            |*  |04 27 30.0 +13 51 06                   |     ~   |     ~   |     ~   |     ~   |~              
1521|   7270.28|Cl* Melotte 25 REIDA 226           |*  |04 23 51.5964325848 +13 59 41.948514924|     ~   |16.82    |15.73    |     ~   |~              
1522|   7273.33|Cl* Melotte 25 HAN 582             |*  |04 34 09.91 +16 55 45.2                |     ~   |16.62    |14.76    |     ~   |~              
1523|   7273.90|RX J0432.4+1724                    |X  |04 32 27.9 +17 24 21                   |     ~   |     ~   |     ~   |     ~   |~              
1524|   7278.36|Cl* Melotte 25 REIDA 256           |*  |04 24 00.9193243536 +13 58 40.145138436|     ~   |19.69    |17.34    |     ~   |~              
1525|   7279.25|Cl* Melotte 25 REIDA 219           |*  |04 23 44.8795314216 +14 00 12.453220908|     ~   |16.93    |15.94    |     ~   |~              
1526|   7283.12|RX J043229.6+172411                |X  |04 32 29.7 +17 24 11                   |     ~   |     ~   |     ~   |     ~   |~              
1527|   7287.98|1RXS J042146.0+141705              |X  |04 21 46.00 +14 17 05.0                |     ~   |     ~   |     ~   |     ~   |~              
1528|   7288.90|4C 17.26                           |Rad|04 27 56.90 +17 52 43.0                |     ~   |     ~   |     ~   |     ~   |~              
1529|   7291.55|Cl* Melotte 25 VA 186              |*  |04 20 15.4608579912 +17 05 14.199500904|     ~   |17.74    |16.8     |14.56    |~              
1530|   7293.87|2MASS J04264574+1753310            |NIR|04 26 45.74 +17 53 31.0                |     ~   |     ~   |     ~   |     ~   |~              
1531|   7295.86|[LHD94] 042139.8+134911            |*  |04 24 28.6 +13 56 02                   |     ~   |     ~   |     ~   |     ~   |~              
1532|   7296.41|2MASS J04185213+1520337            |LM*|04 18 52.1295578448 +15 20 33.320598648|     ~   |     ~   |     ~   |     ~   |M7V            
1533|   7297.04|Gaia DR3 3313083758626063360       |*  |04 34 59.6459962200 +16 31 07.298025780|     ~   |     ~   |     ~   |     ~   |~              
1534|   7301.31|LP 475-56                          |PM*|04 24 31.5264098640 +13 55 43.068941832|     ~   |18.12    |16.54    |16.12    |~              
1535|   7302.25|Cl* Melotte 25 VA 706              |PM*|04 33 24.3483567264 +14 33 09.832081140|     ~   |16.61    |15.7     |14.45    |~              
1536|   7302.52|Cl* Melotte 25 VA 372              |PM*|04 25 56.4652793040 +17 52 45.351601320|     ~   |15.00    |14.32    |14.16    |~              
1537|   7302.55|PM2000 163490                      |*  |04 18 36.7629854280 +16 05 35.952172728|     ~   |     ~   |15.547   |     ~   |~              
1538|   7306.27|PKS 0425+177                       |Rad|04 27 57.2 +17 53 00                   |     ~   |     ~   |     ~   |     ~   |~              
1539|   7308.79|SDSS J041843.45+161641.3           |LM*|04 18 43.4473969512 +16 16 41.317852044|     ~   |     ~   |     ~   |     ~   |M0V            
1540|   7312.60|2MASS J04252269+1751379            |*  |04 25 22.69896 +17 51 37.9800          |     ~   |     ~   |     ~   |     ~   |~              
1541|   7314.11|Cl* Melotte 25 VA 620              |PM*|04 31 27.7792197312 +17 35 41.010071856|     ~   |16.01    |14.98    |15.00    |~              
1542|   7315.99|HD 285714                          |*  |04 21 03.9465849312 +14 25 28.801505244|     ~   |10       |     ~   |     ~   |A              
1543|   7319.65|Cl* Melotte 25 REIDA 220           |*  |04 23 42.1718819904 +13 59 45.222390924|     ~   |20.10    |18.81    |     ~   |~              
1544|   7322.10|Cl* Melotte 25 VA 542              |PM*|04 29 25.9357806288 +17 48 55.980451584|     ~   |13.95    |12.97    |12.82    |~              
1545|   7325.12|2MASS J04230736+1740389            |G  |04 23 07.3660331664 +17 40 38.886544776|     ~   |     ~   |     ~   |     ~   |~              
1546|   7325.28|Cl* Melotte 25 VA 299              |*  |04 24 04.3495321704 +17 46 37.493596164|     ~   |18.81    |17.8     |     ~   |~              
1547|   7327.06|Cl* Melotte 25 VR 38               |*  |04 26 44.5470432744 +13 49 56.365154760|     ~   |14.53    |13.53    |13.28    |G              
1548|   7330.28|Cl* Melotte 25 REIDA 224           |*  |04 23 44.5596983568 +13 59 19.093883640|     ~   |20.23    |19.07    |     ~   |~              
1549|   7330.33|Cl* Melotte 25 HAN 595             |*  |04 34 31.96 +16 48 18.0                |     ~   |17.03    |14.76    |     ~   |~              
1550|   7331.59|TYC 1269-1232-1                    |*  |04 31 18.9948814482 +17 37 17.725651786|     ~   |12.62    |11.72    |     ~   |~              
1551|   7333.51|87GB 042438.3+174718               |Rad|04 27 31.0 +17 54 00                   |     ~   |     ~   |     ~   |     ~   |~              
1552|   7335.26|Cl* Melotte 25 REIDA 222           |*  |04 23 40.2183603120 +13 59 40.355409984|     ~   |17.96    |16.86    |     ~   |~              
1553|   7336.36|GRB 181002A                        |gB |04 18 59.18 +15 12 46.4                |     ~   |     ~   |     ~   |     ~   |~              
1554|   7344.53|Cl* Melotte 25 LH 52               |*  |04 32 54.38 +14 24 25.1                |     ~   |16.76    |15.26    |     ~   |~              
1555|   7345.10|[LHD94] 043004.9+141809            |*  |04 32 54.5 +14 24 26                   |     ~   |     ~   |     ~   |     ~   |~              
1556|   7345.25|Cl* Melotte 25 VA 322              |*  |04 24 26.8621791768 +13 55 18.192669204|     ~   |17.08    |16.04    |15.96    |~              
1557|   7345.25|UCAC4 523-008739                   |Y*?|04 32 54.3993758184 +14 24 24.361579728|     ~   |16.795   |15.219   |13.035   |~              
1558|   7345.99|QSO J0431+1731                     |BLL|04 31 57.3792494712 +17 31 35.778267228|     ~   |     ~   |     ~   |21.3     |~              
1559|   7346.00|RX J043059.5+174011                |X  |04 30 59.5 +17 40 11                   |     ~   |     ~   |     ~   |     ~   |~              
1560|   7346.02|Cl* Melotte 25 CFHT 11             |PM*|04 34 21.0408007152 +14 51 17.168065668|     ~   |     ~   |     ~   |     ~   |~              
1561|   7346.66|PM2000 163456                      |*  |04 18 33.0939640512 +16 04 11.356802904|     ~   |     ~   |15.723   |     ~   |~              
1562|   7347.04|SDSS J041833.40+160459.4           |HB*|04 18 33.3954486240 +16 04 59.464860960|     ~   |     ~   |     ~   |     ~   |~              
1563|   7347.75|Cl* Melotte 25 VA 381              |*  |04 26 02.4897011088 +17 53 41.237394972|     ~   |18.05    |17.1     |14.20    |~              
1564|   7347.84|ATO J068.8719+15.8840              |V* |04 35 29.2638583188 +15 53 02.448385986|     ~   |13.165   |12.383   |12.358   |~              
1565|   7348.01|IRAS 04157+1558                    |FIR|04 18 33.5 +16 05 29                   |     ~   |     ~   |     ~   |     ~   |~              
1566|   7351.57|BPS BS 17585-0051                  |*  |04 18 47.9101441944 +16 24 21.797713224|     ~   |13.86    |13.10    |13.21    |~              
1567|   7353.05|HD 285920                          |*  |04 35 28.4127184008 +15 44 09.422649096|     ~   |11.76    |11.30    |     ~   |A3             
1568|   7355.19|87GB 042903.8+172530               |Rad|04 31 57.0 +17 31 51                   |     ~   |     ~   |     ~   |     ~   |~              
1569|   7355.19|RX J043156.9+173151                |X  |04 31 57.0 +17 31 51                   |     ~   |     ~   |     ~   |     ~   |~              
1570|   7355.39|HD 286830                          |*  |04 30 46.6921275096 +14 02 18.959758260|     ~   |12.02    |11.16    |11.13    |F0             
1571|   7357.38|Cl* Melotte 25 REIDA 225           |*  |04 23 37.2654397752 +13 59 34.781805816|     ~   |21.39    |19.68    |     ~   |~              
1572|   7357.95|PM J04353+1615                     |*  |04 35 21.1364109504 +16 15 19.713681000|     ~   |     ~   |11.973   |11.626   |~              
1573|   7358.85|HD 285911                          |*  |04 35 07.8067087392 +16 28 23.092660992|     ~   |11.25    |10.83    |     ~   |G2v            
1574|   7359.29|UCAC4 540-009396                   |*  |04 28 10.7534046240 +17 53 28.883577300|     ~   |16.07    |14.18    |13.80    |~              
1575|   7360.01|ATO J068.3176+14.4915              |V* |04 33 16.2315260129 +14 29 29.611807533|     ~   |16.793   |16.216   |14.016   |~              
1576|   7360.06|UCAC4 540-009487                   |*  |04 29 36.9548317656 +17 48 46.668390876|     ~   |16.061   |14.679   |14.521   |~              
1577|   7362.38|Cl* Melotte 25 VA 546              |PM*|04 29 30.9093843000 +17 49 16.433089860|     ~   |14.54    |13.66    |13.58    |~              
1578|   7369.46|2MASS J04343326+1649064            |NIR|04 34 33.2875562352 +16 49 06.382375320|     ~   |     ~   |     ~   |     ~   |~              
1579|   7371.82|Cl* Melotte 25 VA 624              |*  |04 31 32.728 +17 36 04.76              |     ~   |19.19    |17.5     |     ~   |~              
1580|   7374.81|TYC 681-976-1                      |*  |04 34 07.2886619376 +14 44 58.398229824|     ~   |12.58    |10.57    |     ~   |~              
1581|   7376.77|TGU L153                           |DNe|04 24 00.0 +13 57 00                   |     ~   |     ~   |     ~   |     ~   |~              
1582|   7378.41|2MASX J04222984+1407453            |rG |04 22 29.844 +14 07 45.35              |     ~   |19.0     |18.0     |     ~   |~              
1583|   7379.38|[LHD94] 042631.2+174329            |*  |04 29 24.7 +17 50 01                   |     ~   |     ~   |     ~   |     ~   |~              
1584|   7383.67|PKS 0419+14                        |Rad|04 22 28.1 +14 07 55                   |     ~   |     ~   |     ~   |     ~   |~              
1585|   7384.25|2MASS J04194222+1656130            |*  |04 19 42.2337314784 +16 56 13.327145664|     ~   |     ~   |     ~   |     ~   |~              
1586|   7393.68|PKS J0422+1407                     |Rad|04 22 27.90 +14 07 45.0                |     ~   |     ~   |     ~   |     ~   |~              
1587|   7406.91|Cl* Melotte 25 VA 196              |PM*|04 20 35.7645742104 +14 30 28.601093592|     ~   |18.46    |16.7     |14.22    |~              
1588|   7408.79|TYC 1270-1016-1                    |*  |04 32 30.1808706528 +17 26 50.173853496|     ~   |12.27    |11.37    |     ~   |~              
1589|   7410.37|G 83-15                            |PM*|04 31 34.7228582846 +14 07 49.310127596|     ~   |16.61    |     ~   |14.56    |~              
1590|   7414.12|2MASX J04254504+1754162            |G  |04 25 45.0767374224 +17 54 15.723774360|     ~   |     ~   |     ~   |     ~   |~              
1591|   7417.69|PGCC G180.02-20.26                 |MoC|04 33 33.567 +17 11 55.30              |     ~   |     ~   |     ~   |     ~   |~              
1592|   7420.99|UCAC4 538-008709                   |*  |04 21 17.3512084392 +17 24 31.739668668|     ~   |13.977   |12.752   |12.548   |~              
1593|   7425.97|4FGL J0432.0+1732                  |gam|04 32 01.4 +17 32 33                   |     ~   |     ~   |     ~   |     ~   |~              
1594|   7427.53|UCAC4 526-008176                   |LM*|04 18 58.2433317480 +15 08 55.011594228|     ~   |     ~   |     ~   |     ~   |M4V            
1595|   7427.96|Cl* Melotte 25 VA 563              |*  |04 30 04.2001076184 +17 47 41.270062884|     ~   |14.96    |13.45    |13.08    |M0             
1596|   7431.25|TXS 0419+140                       |Rad|04 22 26.0 +14 07 18                   |     ~   |     ~   |     ~   |     ~   |~              
1597|   7432.80|Cl* Melotte 25 HAN 196             |*  |04 18 57.80 +15 08 57.1                |     ~   |18.01    |16.27    |     ~   |~              
1598|   7434.46|UCAC4 540-009210                   |*  |04 24 44.8668217752 +17 51 36.959269932|     ~   |13.183   |12.046   |11.633   |~              
1599|   7435.29|TYC 1266-821-1                     |*  |04 35 35.2511 +15 54 46.631            |     ~   |12.38    |11.93    |     ~   |~              
1600|   7436.07|HD 28424                           |PM*|04 29 32.6858594376 +13 53 40.965513576|10.060   |8.940    |     ~   |8.10     |K1III          
1601|   7438.41|ATO J065.4713+14.2099              |V* |04 21 53.1258820884 +14 12 35.976952165|     ~   |     ~   |     ~   |     ~   |~              
1602|   7441.67|HD 286831                          |** |04 31 47.7234865 +14 09 15.347113      |     ~   |     ~   |     ~   |     ~   |F8             
1603|   7441.75|HD 286831A                         |*  |04 31 47.9048581081 +14 09 17.021807239|     ~   |11.36    |10.72    |     ~   |~              
1604|   7441.93|Cl* Melotte 25 VA 598              |*  |04 30 46.3317498912 +14 00 39.914074800|     ~   |17.95    |16.0     |15.33    |~              
1605|   7443.65|HD 286831B                         |*  |04 31 47.8639477879 +14 09 14.339009255|     ~   |12.55    |11.84    |     ~   |~              
1606|   7445.09|Cl* Melotte 25 HAN 605             |*  |04 35 09.9001778832 +16 31 33.014611560|     ~   |16.6     |13.34    |     ~   |~              
1607|   7445.45|Cl* Melotte 25 HAN 564             |*  |04 33 25.73 +17 14 47.7                |     ~   |16.18    |14.48    |     ~   |~              
1608|   7447.27|Cl* Melotte 25 VA 662              |*  |04 32 12.1861672752 +14 13 22.862667108|     ~   |18.74    |17.5     |     ~   |~              
1609|   7449.80|V* V718 Tau                        |C* |04 31 21.9261058152 +17 39 10.271698668|     ~   |     ~   |11.62    |     ~   |C2:e           
1610|   7454.45|LB 102                             |PM*|04 28 22.4184941520 +13 49 21.946932192|     ~   |17.4     |16.15    |     ~   |~              
1611|   7457.47|Gaia DR2 3309552337731379840       |WD?|04 35 09.2245222944 +15 12 27.830602800|     ~   |     ~   |     ~   |     ~   |~              
1612|   7460.77|Cul 0422+177                       |Rad|04 25 23.1 +17 54 10                   |     ~   |     ~   |     ~   |     ~   |~              
1613|   7463.22|ATO J068.2684+17.3433              |V* |04 33 04.4197704604 +17 20 36.155933580|     ~   |14.142   |12.214   |11.751   |~              
1614|   7464.47|HD 285694                          |*  |04 18 24.0806349168 +15 43 23.162993256|     ~   |11.21    |10.54    |     ~   |A2             
1615|   7473.77|TYC 1269-257-1                     |EB*|04 29 15.6272732808 +17 52 15.775024440|     ~   |11.55    |11.14    |     ~   |~              
1616|   7475.39|HD 29117                           |*  |04 35 33.7920141000 +16 08 40.907121360|     ~   |8.80     |7.70     |     ~   |K0III          
1617|   7480.56|TYC 1268-1102-1                    |*  |04 22 55.9859864088 +17 42 09.096005484|     ~   |12.44    |11.95    |     ~   |~              
1618|   7480.68|TYC 680-395-1                      |*  |04 24 03.4696271640 +13 54 50.586705504|     ~   |12.11    |11.51    |     ~   |~              
1619|   7488.71|Cl* Melotte 25 LH 47               |*  |04 33 38.32 +17 12 24.6                |     ~   |20.09    |17.94    |     ~   |~              
1620|   7489.94|[VV2006] J042247.7+174116          |QSO|04 22 47.7719727960 +17 41 15.834139296|     ~   |     ~   |19.74    |19.5     |~              
1621|   7495.18|SDSS J041821.50+154458.5           |HB?|04 18 21.4989912144 +15 44 58.626955824|     ~   |     ~   |     ~   |     ~   |~              
1622|   7499.37|ATO J066.1471+17.8683              |V* |04 24 35.3081433613 +17 52 06.045635642|     ~   |15.470   |13.474   |13.189   |~              
1623|   7500.15|HG 7-205                           |PM*|04 25 25.0272958848 +17 54 55.257971040|     ~   |12.84    |11.128   |10.61    |~              
1624|   7504.41|HD 28406                           |PM*|04 29 30.3506853024 +17 51 47.393997696|7.36     |7.352    |6.890    |6.631    |F6V            
1625|   7506.93|NVSS J042436+135145                |Rad|04 24 36.9 +13 51 45                   |     ~   |     ~   |     ~   |     ~   |~              
1626|   7508.12|2MASS J04181980+1555507            |LM*|04 18 19.7925372432 +15 55 50.180845908|     ~   |     ~   |     ~   |     ~   |M0V            
1627|   7508.30|Cl* Melotte 25 HAN 191             |*  |04 18 48.95 +16 34 00.5                |     ~   |16.8     |15.21    |     ~   |~              
1628|   7508.81|GB6 B0415+1544                     |Rad|04 18 19.60 +15 51 27.0                |     ~   |     ~   |     ~   |     ~   |~              
1629|   7509.56|Cl* Melotte 25 VA 318              |*  |04 24 26.4266470080 +17 51 38.731192452|     ~   |18.86    |17.4     |     ~   |~              
1630|   7509.98|Cl* Melotte 25 VA 159              |*  |04 19 14.1130831752 +16 48 20.626190460|     ~   |19.91    |17.7     |15.26    |~              
1631|   7510.28|NVSS J041819+155113                |Rad|04 18 19.51 +15 51 14.1                |     ~   |     ~   |     ~   |     ~   |~              
1632|   7510.92|HD 285847                          |PM*|04 30 25.0952876112 +17 47 09.672001548|     ~   |10.42    |9.97     |9.91     |F2             
1633|   7520.85|Gaia DR3 3314148601277574656       |*  |04 31 33.8317030272 +17 38 50.601442200|     ~   |     ~   |     ~   |     ~   |~              
1634|   7521.27|SDSS J041819.93+154402.6           |HB?|04 18 19.9404782400 +15 44 02.710131576|     ~   |     ~   |     ~   |     ~   |~              
1635|   7528.20|LP 475-132                         |PM*|04 32 25.7131457832 +14 14 13.524629208|     ~   |17.8     |16.0     |13.55    |~              
1636|   7530.78|4C 17.25                           |Rad|04 25 24.42 +17 55 24.8                |     ~   |     ~   |     ~   |     ~   |~              
1637|   7532.71|ATO J068.9107+16.1193              |V* |04 35 38.5797680774 +16 07 09.670875690|     ~   |     ~   |     ~   |16.188   |~              
1638|   7533.56|* del03 Tau                        |a2*|04 25 29.3847186643 +17 55 40.463442784|     ~   |4.369    |4.298    |6.18     |A2IV-Vs        
1639|   7533.60|SDSS J041819.73+154159.0           |HB?|04 18 19.7427450528 +15 41 59.077555692|     ~   |     ~   |     ~   |     ~   |~              
1640|   7534.67|Cl* Melotte 25 VA 763              |PM*|04 35 28.4396229504 +15 23 57.488171532|     ~   |     ~   |     ~   |15.94    |~              
1641|   7535.28|* del03 Tau B                      |PM*|04 25 29.337927 +17 55 42.09926        |     ~   |8.33     |7.79     |     ~   |~              
1642|   7537.38|GB6 B0416+1444                     |Rad|04 19 23.60 +14 51 22.0                |     ~   |     ~   |     ~   |     ~   |~              
1643|   7539.87|1RXS J042932.3+175216              |X  |04 29 32.302 +17 52 16.00              |     ~   |     ~   |     ~   |     ~   |~              
1644|   7540.64|HG 7-168                           |PM*|04 19 43.1287734504 +14 43 27.976423044|     ~   |13.54    |12.47    |12.39    |~              
1645|   7542.87|WISE J042027.06+171517.9           |MIR|04 20 27.062 +17 15 17.94              |     ~   |     ~   |     ~   |     ~   |~              
1646|   7546.62|Cl* Melotte 25 HAN 338             |*  |04 24 53.51 +17 54 05.0                |     ~   |18.11    |16.69    |     ~   |~              
1647|   7548.99|HD 285685                          |*  |04 18 49.0404487584 +16 36 04.402986408|     ~   |12.52    |11.44    |     ~   |K0             
1648|   7549.04|RX J043036.1+174642                |X  |04 30 36.1 +17 46 42                   |     ~   |     ~   |     ~   |     ~   |~              
1649|   7551.43|HD 285690                          |BY*|04 18 19.2717491592 +16 05 17.992962636|     ~   |10.532   |9.548    |9.015    |K0             
1650|   7553.92|TYC 1269-363-1                     |PM*|04 28 45.5943020712 +17 55 20.348431788|     ~   |12.40    |11.67    |     ~   |~              
1651|   7556.05|Cl* Melotte 25 HAN 438             |*  |04 28 45.33 +17 55 23.3                |     ~   |14.59    |14.03    |     ~   |~              
1652|   7556.71|2MASS J04221344+1737375            |*  |04 22 13.44552 +17 37 37.5060          |     ~   |     ~   |     ~   |     ~   |~              
1653|   7568.93|HD 28306                           |*  |04 28 38.2681628880 +17 55 56.389548864|     ~   |10.41    |9.90     |     ~   |A3             
1654|   7570.75|TYC 1264-10-1                      |*  |04 18 53.4400010160 +15 05 19.231630872|     ~   |12.25    |11.51    |     ~   |~              
1655|   7571.11|[T2015] nest 202112                |PaG|04 34 09.0 +17 05 07                   |     ~   |     ~   |     ~   |     ~   |~              
1656|   7574.92|TYC 1268-518-1                     |*  |04 20 31.3993965072 +17 17 15.664643160|     ~   |13.71    |11.19    |     ~   |~              
1657|   7579.14|ATO J068.4907+17.1500              |V* |04 33 57.7663635320 +17 09 00.306918323|     ~   |15.372   |13.456   |12.806   |~              
1658|   7579.42|Cl* Melotte 25 VA 633              |*  |04 31 44.0412387120 +17 38 27.867473844|     ~   |18.88    |16.8     |16.49    |~              
1659|   7582.56|Gaia DR3 3310767225065216128       |*  |04 24 28.7833421448 +13 51 01.271969532|     ~   |     ~   |     ~   |     ~   |~              
1660|   7585.34|GAT 881                            |*  |04 35 38.9121330024 +16 12 56.393544996|     ~   |13.98    |12.99    |     ~   |A3v            
1661|   7592.64|2MASS J04310033+1359335            |AG?|04 31 00.3383719632 +13 59 33.477082368|     ~   |     ~   |     ~   |     ~   |~              
1662|   7593.08|LP 415-1083                        |PM*|04 29 21.1053964608 +17 53 58.012926720|     ~   |20.4     |     ~   |17.7     |~              
1663|   7595.49|Cl* Melotte 25 VA 767              |*  |04 35 34.5242217960 +15 25 51.300728868|     ~   |19.15    |17.5     |14.58    |~              
1664|   7600.17|PGCC G178.86-24.11                 |MoC|04 18 17.966 +15 35 43.44              |     ~   |     ~   |     ~   |     ~   |~              
1665|   7602.53|NVSS J042038+171938                |Rad|04 20 38.00 +17 19 38.0                |     ~   |     ~   |     ~   |     ~   |~              
1666|   7605.62|WK 119                             |Rad|04 20 38.1 +17 19 44                   |     ~   |     ~   |     ~   |     ~   |~              
1667|   7607.40|GSC 01270-01313                    |*  |04 32 25.2434381880 +17 32 03.238002996|     ~   |     ~   |14.5     |     ~   |~              
1668|   7609.97|HD 285689                          |*  |04 18 18.9261702072 +16 12 17.617032000|     ~   |11.36    |10.65    |     ~   |A2             
1669|   7611.21|Cl* Melotte 25 BJH 624             |*  |04 33 40.1 +17 15 04                   |     ~   |     ~   |     ~   |     ~   |~              
1670|   7611.21|[LHD94] 043047.2+170849            |*  |04 33 40.1 +17 15 04                   |     ~   |     ~   |     ~   |     ~   |~              
1671|   7611.42|NVSS J041827+162217                |Rad|04 18 27.0899 +16 22 17.982            |     ~   |     ~   |     ~   |     ~   |~              
1672|   7613.05|HD 285773                          |BY*|04 29 31.6063777896 +17 53 35.460179628|10.28    |9.761    |8.934    |8.486    |K0V            
1673|   7617.33|2MASS J04181550+1607070            |LM*|04 18 15.4898690904 +16 07 07.274178408|     ~   |     ~   |     ~   |     ~   |M0V            
1674|   7620.34|UCAC4 540-009499                   |Y*?|04 29 54.8229024240 +17 51 55.321623072|     ~   |16.277   |15.035   |14.805   |~              
1675|   7622.86|CRTS J043101.3+174509              |EB*|04 31 01.3400919384 +17 45 09.719210448|     ~   |     ~   |17.96    |     ~   |~              
1676|   7624.20|2MASS J04181180+1556221            |LM*|04 18 11.8022387160 +15 56 22.084907964|     ~   |     ~   |     ~   |     ~   |M0V            
1677|   7625.60|RX J043227.5+173201                |X  |04 32 27.5 +17 32 01                   |     ~   |     ~   |     ~   |     ~   |~              
1678|   7626.24|[RRN96] GG Tau b                   |*  |04 32 30.3486144192 +17 31 29.409347820|     ~   |     ~   |     ~   |     ~   |M7.5           
1679|   7626.34|[RRN96] GG Tau Bb                  |TT*|04 32 30.28224 +17 31 30.3024          |     ~   |     ~   |     ~   |     ~   |M6+M7.5        
1680|   7626.40|[RRN96] GG Tau B                   |Y*?|04 32 30.2766917736 +17 31 30.449809020|     ~   |     ~   |     ~   |     ~   |M6             
1681|   7629.79|SDSS J041819.23+161444.8           |WD*|04 18 19.233 +16 14 44.78              |     ~   |     ~   |     ~   |     ~   |DA             
1682|   7630.26|HD 285907                          |*  |04 34 19.4281225296 +17 03 13.679492832|     ~   |11.95    |11.37    |     ~   |A0             
1683|   7633.26|SDSS J041811.92+154456.8           |HB?|04 18 11.9240741184 +15 44 56.909709276|     ~   |     ~   |     ~   |     ~   |~              
1684|   7634.91|V* GG Tau                          |Or*|04 32 30.3506925552 +17 31 40.494063144|14.84    |14.78    |13.40    |11.54    |M0e+M2.0e      
1685|   7636.97|IRAS 04161+1451                    |FIR|04 19 01.2 +14 58 17                   |     ~   |     ~   |     ~   |     ~   |~              
1686|   7638.16|IRAS 04215+1747                    |*  |04 24 26.9019315336 +17 53 55.271174460|     ~   |     ~   |     ~   |     ~   |~              
1687|   7638.26|Cl* Melotte 25 VA 405              |*  |04 26 52.7151366696 +17 59 17.546213760|     ~   |17.57    |16.6     |15.83    |~              
1688|   7640.58|[BKM2008] HC17c02-1196l            |*  |04 35 46.8 +15 39 41                   |     ~   |     ~   |     ~   |     ~   |~              
1689|   7640.87|Cl* Melotte 25 LH 144              |PM*|04 24 48.5247063096 +13 48 40.727540880|     ~   |17.52    |16.0     |15.96    |~              
1690|   7640.99|PGCC G181.50-20.67                 |MoC|04 35 49.568 +15 51 37.92              |     ~   |     ~   |     ~   |     ~   |~              
1691|   7641.67|NAME GG Tau N                      |Rad|04 32 29.89 +17 31 54.4                |     ~   |     ~   |     ~   |     ~   |~              
1692|   7643.50|IRAS 04220+1341                    |FIR|04 24 51.6 +13 48 27                   |     ~   |     ~   |     ~   |     ~   |~              
1693|   7645.08|LP 414-159                         |PM*|04 18 12.9909031416 +16 05 53.268709128|     ~   |17.55    |16.4     |13.95    |~              
1694|   7652.22|2MASS J04344701+1652593            |*  |04 34 47.0178543072 +16 52 58.531458612|     ~   |     ~   |     ~   |     ~   |M4.5V          
1695|   7654.36|Cl* Melotte 25 HAN 602             |*  |04 34 46.2785961168 +16 53 22.661354076|     ~   |16.88    |14.49    |     ~   |~              
1696|   7654.88|WISE J043527.76+162936.4           |MIR|04 35 27.768 +16 29 36.45              |     ~   |     ~   |     ~   |     ~   |~              
1697|   7663.89|Cl* Melotte 25 VA 521              |*  |04 29 01.7180712984 +13 47 42.076778280|     ~   |19.35    |17.6     |     ~   |~              
1698|   7666.98|HD 285777                          |*  |04 25 25.2598618128 +17 57 45.479900376|     ~   |10.83    |10.51    |     ~   |B8             
